start_chunk	end_chunk	id_chunk	n_observed	mean_simulated	odds_ratio	u	pvalue	cintervL	cintervH	stdev
0	1000	0	243	204.196232	1.2050684567542838	7.432954700890278	0.00640401065612759	204.22335538067347	204.16910861932655	13.838690147632322
1000	2000	1	108	99.002515	1.093942884301748	0.8192040915777632	0.36541297353673974	99.02172615919501	98.983303840805	9.80177517977101
2000	3000	2	90	108.153348	0.827466180741536	3.3360182726448215	0.06777844096392298	108.17339004258652	108.13330595741347	10.22570234218149
3000	4000	3	76	86.555739	0.8751845248464725	1.3775665792046787	0.24051608264583407	86.57373281584003	86.53774518415997	9.180671280678718
4000	5000	4	99	102.782185	0.9620688116642366	0.14536926426038832	0.7030005268414063	102.80176225671343	102.76260774328657	9.988562740743784
5000	6000	5	88	98.999554	0.8858620733773185	1.3076767939480796	0.25281571560617033	99.01878223873544	98.98032576126457	9.810489376228078
6000	7000	6	79	97.666489	0.8042078469453673	3.927620379378105	0.04749911148285157	97.6855838344324	97.64739416556759	9.7424248220286
7000	8000	7	111	97.85964	1.1389310171117333	1.7441522625925714	0.18661356649781627	97.87876926886403	97.84051073113596	9.759993702375018
8000	9000	8	87	99.366661	0.8721898636893942	1.6547502051184857	0.19831363393634638	99.38590940591666	99.34741259408332	9.820778925883577
9000	10000	9	103	99.174906	1.0398063642958932	0.15022276386285505	0.6983225680384705	99.19412293950347	99.15568906049651	9.804724365894431
10000	11000	10	90	94.327646	0.9528403902242318	0.20746982450305573	0.6487577989266579	94.34642392080507	94.30886807919494	9.58073150123121
11000	12000	11	121	99.158961	1.2286098361384512	4.640691774041322	0.03122241435582621	99.17816242562667	99.13975957437334	9.796808990711158
12000	13000	12	110	97.650029	1.1308137988654257	1.5474301067035157	0.21351522805552584	97.6690893103358	97.6309686896642	9.724810193477248
13000	14000	13	78	115.550072	0.6671990596164116	14.2320291296517	0.0001615965331646137	115.57078449719297	115.52935950280703	10.567776719576166
14000	15000	14	103	117.74832	0.8707293206458045	1.9975698060872027	0.15755163498311955	117.76921485292621	117.7274251470738	10.660816909486817
15000	16000	15	88	104.968381	0.8339380821592333	2.993593068018402	0.08359449529950413	104.98816101961476	104.94860098038522	10.092014924624266
16000	17000	16	87	97.551322	0.8889222034049318	1.2193519846939047	0.2694878627697464	97.57040303066749	97.5322409693325	9.73538196745849
17000	18000	17	90	99.752876	0.8995003040843189	1.0157958413509327	0.3135183273357918	99.77214389488317	99.73360810511683	9.83072244184648
18000	19000	18	98	105.405182	0.9276047223025354	0.549954461714087	0.45833630164698347	105.42500535280239	105.3853586471976	10.114124062264414
19000	20000	19	92	105.221803	0.8707555476073335	1.7901322451066761	0.18091005101264546	105.24159316380987	105.20201283619012	10.097190620622698
20000	21000	20	78	90.093814	0.8625286164532925	1.7466809578631164	0.18629452681920103	90.11214840620083	90.07547959379916	9.354444768846731
21000	22000	21	97	104.662769	0.9245785363182918	0.5935184914229605	0.4410617561323753	104.68252576166141	104.64301223833859	10.080148424137365
22000	23000	22	92	103.429576	0.8863387721098479	1.3529551721820248	0.24476215332363174	103.44921411086146	103.40993788913853	10.019611292870795
23000	24000	23	89	95.228138	0.9327928128055577	0.42856030230559483	0.5126962328002785	95.24700784477245	95.20926815522755	9.62763226618861
24000	25000	24	74	100.303035	0.7317749823796766	7.809399243587102	0.005197518003498458	100.32239164166411	100.28367835833588	9.876002166300646
25000	26000	25	109	119.343984	0.910378588672193	0.9570950029799725	0.32791987654110355	119.36501378014763	119.32295421985238	10.729658475820376
26000	27000	26	147	161.053208	0.9086916415507296	1.3261114537558605	0.24949817406456448	161.07746053753468	161.02895546246535	12.373949850744346
27000	28000	27	120	125.718636	0.9528034356264273	0.2744143601856841	0.6003858362708979	125.7401935356238	125.6970784643762	10.998925961179301
28000	29000	28	133	130.010454	1.0239560825194387	0.07103050939884437	0.7898422270680248	130.03233159094196	129.98857640905806	11.162222212171015
29000	30000	29	340	157.276283	2.294622719898797	169.57982033742394	9.139839432462342e-39	157.3002620219298	157.25230397807022	12.234398747135511
